given,family,sequence,affiliation,DOI
Sofiya,Ostrovska,additional,"Atilim University, Ankara, Turkey",10.1177/21582440221082135
Ersin,Eskiler,first,"Sakarya University of Applied Sciences, Sakarya, Turkey",10.1177/21582440211014495
Remzi,Altunışık,additional,"Sakarya University, Sakarya, Turkey",10.1177/21582440211014495
Yong,Liu,first,"Sichuan University, Chengdu, China",10.1177/21582440211031487
Jin,Liu,additional,"Sichuan University, Chengdu, China",10.1177/21582440211031487
Yunpeng,Su,additional,"Tianjin University, Tianjin, China",10.1177/21582440211031487
Aneeq,Inam,first,"Universiti Putra Malaysia, Selangor, Malaysia",10.1177/21582440211046937
Jo Ann,Ho,additional,"Universiti Putra Malaysia, Selangor, Malaysia",10.1177/21582440211046937
Hina,Zafar,additional,"Universiti Putra Malaysia, Selangor, Malaysia",10.1177/21582440211046937
Unaiza,Khan,additional,"Air University, Multan, Pakistan",10.1177/21582440211046937
Adnan Ahmed,Sheikh,additional,"Air University, Multan, Pakistan",10.1177/21582440211046937
Usama,Najam,additional,"University Malaya, Kuala Lumpur, Malaysia",10.1177/21582440211046937
Bernice O.,Sanusi,first,"Redeemer’s University, Ede, Nigeria",10.1177/21582440211016374
Felix Olajide,Talabi,additional,"Redeemer’s University, Ede, Nigeria",10.1177/21582440211016374
Omowale T.,Adelabu,additional,"Redeemer’s University, Ede, Nigeria",10.1177/21582440211016374
Moyosore,Alade,additional,"Redeemer’s University, Ede, Nigeria",10.1177/21582440211016374
Kelly Morris,Roberts,first,"Meredith College, Raleigh, NC, USA",10.1177/21582440211023120
Joanna K.,Huxster,first,"Eckerd College, Saint Petersburg, FL, USA",10.1177/21582440211016411
Matthew H.,Slater,additional,"Bucknell University, Lewisburg, PA, USA",10.1177/21582440211016411
Asheley R.,Landrum,additional,"Texas Tech University, Lubbock, TX, USA",10.1177/21582440211016411
Suthasini,Bureekhampun,first,"School of Industrial Education and Technology, King Mongkut’s Institute of Technology Ladkrabang (KMITL), Ladkrabang, Bangkok, Thailand",10.1177/21582440211058201
Chanida,Maneepun,additional,"School of Industrial Education and Technology, King Mongkut’s Institute of Technology Ladkrabang (KMITL), Ladkrabang, Bangkok, Thailand",10.1177/21582440211058201
Dan-Ping,Li,first,"Hunan University of Science and Technology, Xiangtan, Hunan, China",10.1177/21582440211057112
Li,Xie,additional,"Hunan University of Science and Technology, Xiangtan, Hunan, China",10.1177/21582440211057112
Peng-Fei,Cheng,additional,"Hunan University of Science and Technology, Xiangtan, Hunan, China",10.1177/21582440211057112
Xiang-Hong,Zhou,additional,"Hunan University of Science and Technology, Xiangtan, Hunan, China",10.1177/21582440211057112
Cheng-Xun,Fu,additional,"Hunan Valin Xiangtan Iron and Steel Co. Ltd., Xiangtan, Hunan, China",10.1177/21582440211057112
Nuray,Turan,first,"Istanbul University-Cerrahpaşa, Florence Nightingale Faculty of Nursing, Turkey",10.1177/2158244021989305
Yeliz,Çulha,additional,"Istanbul University-Cerrahpaşa, Florence Nightingale Faculty of Nursing, Turkey",10.1177/2158244021989305
Gülsün,Özdemir Aydin,additional,"Tekirdağ Namık Kemal University, School of Health, Turkey",10.1177/2158244021989305
Hatice,Kaya,additional,"Istanbul University-Cerrahpaşa, Florence Nightingale Faculty of Nursing, Turkey",10.1177/2158244021989305
Enrique A.,Mundaca,first,"Universidad Católica del Maule, Curicó, Chile",10.1177/21582440211004142
Mariana,Lazzaro-Salazar,additional,"Universidad Católica del Maule, Talca, Chile",10.1177/21582440211004142
Lucas,Pujol-Cols,additional,"Consejo Nacional de Investigaciones Científicas y Técnicas (CONICET), Mar del Plata, Argentina",10.1177/21582440211004142
María Teresa,Muñoz-Quezada,additional,"Universidad Católica del Maule, Talca, Chile",10.1177/21582440211004142
Jaime Daniel,Roldán Nogueras,first,"University of Córdoba, Spain",10.1177/2158244021994813
Gema,Gomez-Casero,additional,"University of Córdoba, Spain",10.1177/2158244021994813
Jesús Claudio,Pérez Gálvez,additional,"University of Córdoba, Spain",10.1177/2158244021994813
Francisco,González Santa Cruz,additional,"University of Córdoba, Spain",10.1177/2158244021994813
Chenlin,Liu,first,"School of Economics and Management, Tsinghua University, Beijing, China",10.1177/21582440211041081
Siwei,Sun,additional,"Management and International Business, Business School, The University of Auckland, Auckland, New Zealand",10.1177/21582440211041081
Francisca N. Mapiye,Dube,additional,"Management School, The University of Liverpool, Liverpool, United Kingdom",10.1177/21582440211041081
Cong,Zhang,first,"Zhejiang University of Finance and Economics, Hangzhou, China",10.1177/21582440211029944
Rui,Yuan,additional,"Zhejiang University of Technology, Hangzhou, China",10.1177/21582440211029944
Sajjad Ahmad,Afridi,first,"Hazara University, Mansehra, Pakistan",10.1177/21582440211054480
Wajid,Khan,additional,"University of Baltistan, Skardu, Pakistan",10.1177/21582440211054480
Maqsood,Haider,additional,"FATA University, Kohat, Pakistan",10.1177/21582440211054480
Asad,Shahjehan,additional,"Hazara University, Mansehra, Pakistan",10.1177/21582440211054480
Bilal,Afsar,additional,"University of Baltistan, Skardu, Pakistan",10.1177/21582440211054480
Sun,Xuliang,first,"Huaqiao University, Xiamen, Fujian Province, China",10.1177/21582440211058724
Shabir Mohsin,Hashmi,first,"Yancheng Institute of Technology, China",10.1177/21582440211023423
